WN001	WN002	WN003	WN008	WN009	WN011	WN013	WN016	WN019	WN020	WN021	WN024	WN025	WN027	WN028	WN032	WN033	WN037	WN039	WN041	WN044	WN046	WN050	WN053	WN054	WN056	WN057	WN059	WN060	WN061	WN062	WN068	WN069	WN071	WN076	WN077	WN079
binII3480000	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII3490000	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII3580000	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII3590000	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII3880000	-1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII3890000	-1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII4560000	-1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII4570000	-1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII5020000	-1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII5030000	-1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII5400000	-1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII5410000	-1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII5580000	-1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII5590000	-1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII5650000	-1	1	-1	-1	1	-1	-1	-1	1	1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII5660000	-1	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII7940000	-1	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII7950000	-1	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII8730000	-1	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1
binII8740000	-1	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1
binII11000000	-1	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1
binII11010000	-1	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1
binII11800000	1	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1
binII11810000	1	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1
binII11820000	1	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1
binII11830000	1	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1
binII11930000	1	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1
binII11940000	1	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1
binII11980000	1	1	-1	-1	1	-1	-1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1
binII11990000	1	1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1
binII12000000	1	1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1
binII12010000	1	1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1
binII12110000	1	1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1
binII12120000	1	1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-1	1	-1	1	-1	-1
binII12200000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII12210000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII12220000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII12230000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII12240000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII12250000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII12280000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII12290000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII12340000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII12350000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII12580000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII12590000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII12600000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1
binII12970000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII12980000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII12990000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13000000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13030000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13040000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13060000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13070000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13080000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13160000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13170000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13180000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13190000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13350000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13360000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13370000	1	1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13380000	1	1	1	-1	1	-1	1	-1	1	1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13390000	1	1	1	-1	1	-1	1	-1	1	1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13400000	1	1	1	-1	1	-1	1	-1	1	1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13410000	1	1	1	-1	1	-1	1	-1	1	1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13480000	1	1	1	-1	1	-1	1	-1	1	1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13490000	1	1	1	-1	1	-1	1	-1	1	1	1	-1	1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1
binII13720000	1	1	1	-1	1	-1	1	1	1	1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1
binII13730000	1	1	1	-1	1	-1	1	1	1	1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1
binII13880000	1	1	1	-1	1	-1	1	1	1	1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	1	-1
binII13890000	1	1	1	-1	1	-1	1	1	1	1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	1	-1
binII13900000	1	1	1	-1	1	-1	1	1	1	1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	1	-1
binII13910000	1	1	1	-1	1	-1	1	1	1	1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	1	-1
binII14160000	1	1	1	-1	1	-1	1	1	1	1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	1	-1
binII14170000	1	1	1	-1	1	-1	1	1	1	1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	1	-1
binII14350000	1	1	1	-1	1	-1	1	1	1	1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	1	-1
binII14360000	1	1	1	-1	1	-1	1	1	1	1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	1	-1
binII15279345	1	1	1	-1	1	-1	1	1	1	1	1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	-1	1	1	-1
binIII10000	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII600000	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII610000	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII990000	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII1000000	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII1160000	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII1170000	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII1540000	-1	1	1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII1550000	-1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII1840000	-1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII1850000	-1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII1890000	-1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII1900000	-1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII1960000	-1	1	1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII1970000	-1	1	1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII1980000	-1	1	1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII1990000	-1	1	1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII2050000	-1	1	1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII2060000	-1	1	1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	1	1	1	-1	-1	1	-1	1	1	-1	1	1	-1	-1	1	-1	1	-1
binIII2320000	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII2330000	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII2430000	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII2440000	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII2510000	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII2520000	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII2560000	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII2570000	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII2690000	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII2700000	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII2710000	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII2760000	-1	1	-1	-1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII2770000	-1	1	1	-1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII2780000	-1	1	1	-1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII2840000	-1	1	1	-1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII2850000	-1	1	1	-1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII2920000	-1	1	1	-1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII2930000	-1	1	1	-1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII3070000	-1	1	1	-1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII3080000	-1	1	1	-1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII3290000	-1	1	1	-1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII3300000	-1	1	1	-1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII3400000	-1	1	1	-1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII3410000	-1	1	1	-1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII3890000	-1	1	1	-1	1	1	1	1	1	1	-1	-1	-1	1	1	1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII3900000	-1	1	1	-1	1	1	1	1	1	1	-1	-1	-1	1	1	1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII4290000	-1	1	1	-1	1	1	1	1	1	1	-1	-1	-1	1	1	1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII4300000	-1	1	1	-1	1	1	1	1	1	1	-1	-1	-1	1	1	1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII4310000	-1	1	1	-1	1	1	-1	1	1	1	-1	-1	-1	1	1	1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII5140000	-1	1	1	-1	1	1	-1	1	1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII5150000	-1	1	1	-1	1	1	-1	1	1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII5450000	-1	1	1	-1	1	1	-1	1	1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII5460000	-1	1	1	-1	1	1	-1	1	1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII5470000	-1	1	1	-1	1	1	-1	1	1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII6430000	-1	1	1	-1	1	1	-1	1	1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII6440000	-1	1	1	-1	1	1	-1	1	1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII8010000	-1	1	1	-1	1	1	-1	1	1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII8020000	-1	1	1	-1	1	1	-1	1	1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
binIII8560000	-1	1	1	-1	1	1	-1	1	1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1
